%++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
% ISMIP HEINO:
% Ice-land-ocean mask. 0: glaciated land, 1: ice-free land, 2: ocean.
% Horizontal resolution 25 km.
% 161 records [j = 160 (-1) 0] with  161 values [i = 0 (1) 160] in each record.
%++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222  (j=160)
22222222222222222222222222222222222222222222222222222222222222222222111111111111111111111111122222222222222222222222222222222222222222222222222222222222222222222  (j=159)
22222222222222222222222222222222222222222222222222222222222222211111111111111111111111111111111111222222222222222222222222222222222222222222222222222222222222222  (j=158)
22222222222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222222222222  (j=157)
22222222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222222222  (j=156)
22222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222222  (j=155)
22222222222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222222222  (j=154)
22222222222222222222222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222222222222222222  (j=153)
22222222222222222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222222222222  (j=152)
22222222222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222222222  (j=151)
22222222222222222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222222222222  (j=150)
22222222222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222222  (j=149)
22222222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222222  (j=148)
22222222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222  (j=147)
22222222222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222222222  (j=146)
22222222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222  (j=145)
22222222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222  (j=144)
22222222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222  (j=143)
22222222222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222  (j=142)
22222222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222222  (j=141)
22222222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222  (j=140)
22222222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222222  (j=139)
22222222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222  (j=138)
22222222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222  (j=137)
22222222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222222  (j=136)
22222222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222  (j=135)
22222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222  (j=134)
22222222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222  (j=133)
22222222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222222  (j=132)
22222222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222  (j=131)
22222222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222  (j=130)
22222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222  (j=129)
22222222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222222  (j=128)
22222222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222  (j=127)
22222222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222  (j=126)
22222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222  (j=125)
22222222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222222  (j=124)
22222222222221111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222  (j=123)
22222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222  (j=122)
22222222222211111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222  (j=121)
22222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222  (j=120)
22222222222111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111122222222222  (j=119)
