%++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
% ISMIP HEINO: Hard-rock/ocean/soft-sediment mask (rotated by 45 deg).
%              1: hard rock, 2: ocean, 3: soft sediment.
% Horizontal resolution 50 km.
% 81 records [j = 80 (-1) 0] with  81 values [i = 0 (1) 80] in each record.
%++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
222222222222222222222222222222222222222222222222222222222222222222222222222222222  (j=80)
222222222222222222222222222222221111111111111111122222222222222222222222222222222  (j=79)
222222222222222222222222222211111111111111111111111112222222222222222222222222222  (j=78)
222222222222222222222222211111111111111111111111111111112222222222222222222222222  (j=77)
222222222222222222222221111111111111111111111111111111111122222222222222222222222  (j=76)
222222222222222222222111111111111111111111111111111111111111222222222222222222222  (j=75)
222222222222222222211111111111111111111111111111111111111111112222222222222222222  (j=74)
222222222222222222111111111111111111111111111111111111111111111222222222222222222  (j=73)
222222222222222221111111111111111111111111111111111111111111111122222222222222222  (j=72)
222222222222222111111111111111111111111111111111111111111111111111222222222222222  (j=71)
222222222222221111111111111111111111111111111111111111111111111111122222222222222  (j=70)
222222222222211111111111111111111111111111111111111111111111111111132222222222222  (j=69)
222222222222111111111111111111111111111111111111111111111111111111333222222222222  (j=68)
222222222221111111111111111111111111111111111111111111111111111113333322222222222  (j=67)
222222222211111111111111111111111111111111111111111111111111111133333112222222222  (j=66)
222222222111111111111111111111111111111111111111111311111111111333331111222222222  (j=65)
222222222111111111111111111111111111111111111111113331111111113333311111222222222  (j=64)
222222221111111111111111111111111111111111111111133333111111133333111111122222222  (j=63)
222222211111111111111111111111111111111111111111333333311111333331111111112222222  (j=62)
222222111111111111111111111111111111111111111113333333331113333311111111111222222  (j=61)
222222111111111111111111111111111111111111111133333333333133333111111111111222222  (j=60)
222221111111111111111111111111111111111111111333333333333333331111111111111122222  (j=59)
222221111111111111111111111111111111111111113333333333333333311111111111111122222  (j=58)
222211111111111111111111111111111111111111133333333333333333111111111111111112222  (j=57)
222211111111111111111111111111111111111111333333333333333333311111111111111112222  (j=56)
222111111111111111111111111111111111111113333333333333333333331111111111111111222  (j=55)
222111111111111111111111111111111111111133333333333333333333333111111111111111222  (j=54)
